id,title,author,subtitle,description,coverImage,type,category,niche,author_popularity,book_popularity,length,status,accolade_text,major_award,number_of_bestsellers,number_of_awards
AUTO,The Runway of Life,Peter Legge,Lessons on Success from Master Business Leader Joe Segal,"A collection of success lessons and insights from business leader Joe Segal, as told by Peter Legge.",runway_of_life.png,Non-Fiction,Business,Leadership,0.50,0.40,Medium,reserved,,,,
AUTO,The Power of a Praying Woman,Stormie Omartian,,"A spiritual guide offering prayers and insights to help women deepen their faith and prayer life.",power_praying_woman.png,Non-Fiction,Spirituality,Christian Life,0.85,0.90,Medium,reserved,OVER 10 MILLION SOLD,,10,5
AUTO,QBQ! The Question Behind the Question,John G. Miller,What to Really Ask Yourself to Eliminate Blame Complaining and Procrastination,"A concise guide to personal accountability that helps eliminate blame and procrastination in work and life.",qbq.png,Non-Fiction,Business,Personal Accountability,0.70,0.80,Short,reserved,OVER 1 MILLION SOLD,,5,0
AUTO,Your Best Year Yet!,Jinny S. Ditzler,A Proven Method for Making the Next Twelve Months the Most Successful Ever,"A systematic guide to setting goals and achieving personal success over the course of a year.",best_year_yet.png,Non-Fiction,Self-Help,Goal Setting,0.60,0.65,Medium,reserved,NYT BESTSELLER,,2,0
AUTO,Class Acts,Mary Mitchell,How Good Manners Create Good Relationships and Good Relationships Create Good Business,"A guide to business etiquette and how manners directly impact professional relationships and success.",class_acts.png,Non-Fiction,Business,Etiquette,0.40,0.35,Medium,reserved,,,,
AUTO,101 Hymn Stories,Kenneth W. Osbeck,Inspiring factual backgrounds and experiences that prompted the writing of 101 favorite hymns,"A collection of the inspiring stories and history behind 101 of the most cherished Christian hymns.",hymn_stories.png,Non-Fiction,Music,Christian Hymns,0.50,0.60,Medium,reserved,CHRISTIAN CLASSIC,,5,0
AUTO,Personal Balance Sheet,Randall M. Craig,A Practical Career Planning Guide,"A strategic guide for managing your career like a business asset to ensure long-term growth and stability.",personal_balance_sheet.png,Non-Fiction,Business,Career Management,0.30,0.25,Medium,reserved,,,,
AUTO,Life Management for Busy Women,Elizabeth George,Living Out God's Plan with Passion and Purpose,"A spiritual and practical guide for women to manage their time and priorities according to biblical principles.",life_management.png,Non-Fiction,Spirituality,Christian Life for Women,0.80,0.85,Medium,reserved,OVER 1 MILLION SOLD,,20,4
AUTO,Hours of Power,Robert H. Schuller,My Daily Book of Motivation and Inspiration,"A daily devotional book offering motivation and inspiration from the founder of the Crystal Cathedral.",hours_of_power.png,Non-Fiction,Spirituality,Daily Devotional,0.70,0.60,Long,reserved,,,,
AUTO,Transform Your Life,Geshe Kelsang Gyatso,A Blissful Journey,"A practical guide to transforming daily problems into opportunities for personal growth and happiness through Buddhist wisdom.",transform_your_life.png,Non-Fiction,Spirituality,Buddhism,0.75,0.65,Medium,reserved,INTERNATIONAL BESTSELLER,,5,0
AUTO,Teams at the Top,Jon R. Katzenbach,Unleashing the Potential of Both Teams and Individual Leaders,"A business guide exploring how senior leadership teams can balance individual performance with collective team goals for success.",teams_at_the_top.png,Non-Fiction,Business,Leadership,0.70,0.65,Medium,reserved,,,,
AUTO,Change Your Thoughts - Change Your Life,Dr. Wayne W. Dyer,Living the Wisdom of the Tao,"A modern interpretation of the Tao Te Ching offering 81 essays on how to apply ancient wisdom to today's life.",change_your_thoughts.png,Non-Fiction,Self-Help,Spirituality,0.95,0.90,Medium,reserved,NYT BESTSELLER,,20,5
AUTO,The Amazing Millionaire Formula,Andrew Skelly,Discover the 7 Hidden Steps for Attracting Unlimited Wealth Success and Happiness,"A guide revealing seven hidden steps to attracting wealth success and happiness into your life.",millionaire_formula.png,Non-Fiction,Self-Help,Wealth Creation,0.20,0.15,Medium,reserved,,,,
AUTO,Life on the Edge,Dr. James Dobson,A Young Adult's Guide to a Meaningful Future,"A comprehensive guide for young adults navigating the critical decisions and challenges of early adulthood.",life_on_the_edge.png,Non-Fiction,Christian Life,Young Adult,0.85,0.80,Medium,reserved,GOLD MEDALLION AWARD,Gold Medallion,30,11
AUTO,Essential Manager: Motivating People,Robert Heller,Essential Managers,Practical techniques for motivating teams and individuals to achieve peak performance.,motivating_people.png,Non-Fiction,Business,Management,0.60,0.55,Small,reserved,MULTI-MILLION COPY SERIES,,20,0
AUTO,Leviathan,Scott Westerfeld,,"In an alternate 1914, the opposing sides of World War I are the Darwinians, who use fabricated beasts as weapons, and the Clankers, who use steam-powered machines.",leviathan.png,Fiction,Young Adult,Steampunk,0.90,0.85,Medium,reserved,NYT BESTSELLER,,20,5
AUTO,Wizard and Glass,Stephen King,,The fourth volume in the Dark Tower series featuring Roland Deschain's backstory.,wizard_and_glass.png,Fiction,Fantasy,Dark Tower,0.99,0.95,Long,available,NYT #1 BESTSELLER,,50,50
AUTO,Bag of Bones,Stephen King,,A haunted love story about a writer who tries to resolve his grief at his lakeside retreat.,bag_of_bones.png,Fiction,Horror,Ghost Story,0.99,0.90,Long,available,BRAM STOKER AWARD WINNER,Bram Stoker Award,50,50
AUTO,Dan Brown Collection,,The Da Vinci Code / Angels & Demons / The Lost Symbol,A set of three bestselling thrillers by Dan Brown featuring Robert Langdon.,dan_brown_collection.png,Fiction,Thriller,Conspiracy,0.95,0.95,Medium,available,INTERNATIONAL BESTSELLER,,7,0
AUTO,Speaking Your Way to Success,Sheryl Lindsell-Roberts,Say It So They'll Listen How to Speak Up Speak Well and Get Noticed in Today's Workplace,A guide to effective communication and public speaking in professional environments.,speaking_success.png,Non-Fiction,Business,Communication,0.30,0.40,Medium,available,,,,
AUTO,There's a Spiritual Solution to Every Problem,Wayne W. Dyer,,A guide on how to solve problems by accessing a higher spiritual level.,spiritual_solution.png,Non-Fiction,Self-Help,Spirituality,0.95,0.85,Medium,available,NYT BESTSELLER,,20,5
AUTO,The Host,Stephenie Meyer,,A sc-fi romance about an alien invasion of Earth where aliens inhabit human bodies.,the_host.png,Fiction,Sci-Fi,Romance,0.90,0.85,Long,available,NYT #1 BESTSELLER,,6,3
AUTO,The Act of Marriage,Tim & Beverly LaHaye,The Beauty of Sexual Love,A Christian guide to sexual intimacy in marriage.,act_of_marriage.png,Non-Fiction,Relationships,Christian Marriage,0.60,0.80,Medium,available,OVER 2.5 MILLION SOLD,,40,9
AUTO,Secrets of the Millionaire Mind,T. Harv Eker,Mastering the Inner Game of Wealth,A book identifying the personal blueprints that determine financial success.,millionaire_mind.png,Non-Fiction,Finance,Wealth Mindset,0.80,0.90,Medium,available,NYT #1 BESTSELLER,,4,0
AUTO,The Business Model Book,Adam J. Bock & Gerard George,Design Build and Adapt Business Ideas That Thrive,A workbook for designing and adapting successful business models.,business_model_book.png,Non-Fiction,Business,Strategy,0.20,0.30,Medium,available,,,,
AUTO,Leaving the Mother Ship,Randall M. Craig,Having the Courage to Leave and Charting the Path to Get There,A career guide on making big transitions and leaving a secure job for new opportunities.,leaving_mother_ship.png,Non-Fiction,Business,Career Transition,0.30,0.25,Medium,available,,,,
AUTO,The Cottage The Spider Brooch and The Second Wife,Sandy Cardy,How to Overcome the Challenges of Estate Planning,"A narrative guide to understanding and overcoming estate planning challenges.",the_cottage.png,Non-Fiction,Finance,Estate Planning,0.10,0.15,Medium,available,,,,
AUTO,Wealth,Stuart E. Lucas,Grow It Protect It Spend It and Share It,"A comprehensive guide to managing family wealth for long-term preservation.",wealth.png,Non-Fiction,Finance,Wealth Management,0.20,0.30,Medium,available,,,,
AUTO,Danger in the Comfort Zone,Judith M. Bardwick,From Boardroom to Mailroom - How to Break the Entitlement Habit That's Killing American Business,A management book about overcoming complacency and entitlement in organizations.,danger_comfort_zone.png,Non-Fiction,Business,Management,0.40,0.50,Medium,available,BUSINESS WEEK BESTSELLER,,5,1
AUTO,How to Stay Lovers for Life,Sharyn Wolf,Discover a Marriage Counselor's Tricks of the Trade,Practical advice for maintaining romance and intimacy in long-term relationships.,stay_lovers_for_life.png,Non-Fiction,Relationships,Marriage,0.40,0.50,Medium,available,,,,
AUTO,Building Wealth,Russ Whitney,Achieving Personal and Financial Success in Real Estate and Business Without Money Credit or Luck,Strategies for building wealth through real estate and business ventures.,building_wealth.png,Non-Fiction,Finance,Real Estate,0.50,0.60,Medium,available,NYT BESTSELLER,,6,0
AUTO,The Confident Decision Maker,Roger Dawson,How to Make the Right Business and Personal Decisions Every Time,A guide to making better decisions in business and life with confidence.,confident_decision_maker.png,Non-Fiction,Business,Decision Making,0.50,0.55,Medium,available,,,,
AUTO,Motivating People,Robert Heller,Essential Managers,A concise guide to motivating employees and teams effectively.,motivating_people.png,Non-Fiction,Business,Management,0.60,0.70,Short,available,MULTI-MILLION COPY SERIES,,20,0
AUTO,Managing Your Mind,Gillian Butler & Tony Hope,The Mental Fitness Guide,A guide to mental health and overcoming anxiety depression and stress.,managing_your_mind.png,Non-Fiction,Psychology,Mental Health,0.50,0.60,Medium,available,,,,
AUTO,100 Ways to Motivate Others,Steve Chandler & Scott Richardson,How Great Leaders Can Produce Insane Results Without Driving People Crazy,Quick and practical leadership tips for motivating teams.,100_ways_motivate_others.png,Non-Fiction,Business,Leadership,0.60,0.70,Medium,available,BUSINESS BESTSELLER,,4,0
AUTO,Managing Your Emotions,Joyce Meyer,Instead of Your Emotions Managing You,A Christian guide to understanding and managing emotions for a peaceful life.,managing_your_emotions.png,Non-Fiction,Spirituality,Christian Life,0.90,0.85,Medium,available,NYT BESTSELLER,,100,20
AUTO,One Year to an Organized Life,Regina Leeds,From Your Closets to Your Finances the Week-by-Week Guide to Getting Completely Organized For Good,A week-by-week program for organizing every aspect of your life.,organized_life.png,Non-Fiction,Self-Help,Organization,0.50,0.60,Medium,available,NYT BESTSELLER,,10,0
AUTO,Advantage Play,David Ben,The Manager's Guide to Creative Problem Solving,Using techniques from magic and creative thinking to solve business problems.,advantage_play.png,Non-Fiction,Business,Problem Solving,0.20,0.25,Medium,available,,,,
AUTO,The Amazing Results of Positive Thinking,Norman Vincent Peale,,Classic advice on using positive thinking to achieve success and happiness.,positive_thinking.png,Non-Fiction,Self-Help,Positive Thinking,0.95,0.90,Medium,available,15 MILLION COPIES SOLD,,40,25